profile_name,likely_faculty,total_citations,papers,first_year,top_venue,scholar_profile
Quang Anh Nguyen,no,805,11,2021,Evidence‐Based Complementary and Alternative Medicine 2021 (,https://scholar.google.com/citations?user=VRgWoh0AAAAJ&hl=en
Sean Austin Lim,no,786,9,2008,"European Journal of Neuroscience 27 (7), 1739-1754",https://scholar.google.com/citations?user=u481y4EAAAAJ&hl=en
Ahsan Ahmad,no,683,13,2022,"BULLET: Jurnal Multidisiplin Ilmu 1 (02), 592216",https://scholar.google.com/citations?user=-THxMokAAAAJ&hl=en
Hank Streeter,no,486,2,1982,"J. of Mar. Res 40, 143-155",https://scholar.google.com/citations?user=kheQg4IAAAAJ&hl=en
"Roxanne S. Spurlark, DNP, APRN-FPA, FNP-C",no,454,17,2021,The Association of Black Nursing Faculty Foundation (ABNFF) ,https://scholar.google.com/citations?user=-mf9hjIAAAAJ&hl=en
Ibrar Hussain,no,437,22,2019,International Journal of Multidisciplinary Sciences and Arts,https://scholar.google.com/citations?user=2fJp5zoAAAAJ&hl=en
Cori L. Cafaro,no,379,20,2018,International journal of environmental research and public h,https://scholar.google.com/citations?user=aVYS8a8AAAAJ&hl=en
Hassan Tanveer,no,372,19,2021,Int J Multidiscip Res Growth Eval,https://scholar.google.com/citations?user=B4aRgoYAAAAJ&hl=en
Andrea K Bellovary,no,312,11,2019,"Stereotypes: The Incidence and Impacts of Bias 1, 329",https://scholar.google.com/citations?user=i-az888AAAAJ&hl=en
Sara K. Jones,no,294,11,2010,"Masters Thesis, Michigan State University",https://scholar.google.com/citations?user=G7-taUwAAAAJ&hl=en
Muhammad Ali Adam,no,289,14,2023,Pengantar Studi Islam,https://scholar.google.com/citations?user=JbCXq_IAAAAJ&hl=en
Farzad Eskandanian,no,287,11,2016,"Proceedings of the 28th ACM Conference on User Modeling, Ada",https://scholar.google.com/citations?user=fJxEMiAAAAAJ&hl=en
Joel David Hutson,no,270,15,2002,Kalamazoo College Education Senior Individualized Projects C,https://scholar.google.com/citations?user=DZcEWuAAAAAJ&hl=en
Kyle Bergan,no,264,6,2008,"BS, Susquehanna University, 2001",https://scholar.google.com/citations?user=SRkrXDEAAAAJ&hl=en
Matthew D Bachman,no,262,13,2016,"Psychophysiology 53 (5), 712-722",https://scholar.google.com/citations?user=nd7J5R4AAAAJ&hl=en
Kara Harris,no,255,11,2019,"Social Psychological and Personality Science 10 (7), 977-985",https://scholar.google.com/citations?user=T1sfWvsAAAAJ&hl=en
Krystal M Lewis,no,249,7,2002,"INFO TODAY, 247-254",https://scholar.google.com/citations?user=1H1KFewAAAAJ&hl=en
Taylor Swenski,no,235,22,2020,"PSYCHOSOMATIC MEDICINE 82 (6), A78-A78",https://scholar.google.com/citations?user=ycYKt9IAAAAJ&hl=en
Miaoqi Zhu,no,218,13,2010,"Proc. CSCW, 485-486",https://scholar.google.com/citations?user=g0z-XXQAAAAJ&hl=en
Cathrine A. Southern,no,215,27,2002,"Biophysical Journal 123 (3), 345a",https://scholar.google.com/citations?user=Gh8iZ7sAAAAJ&hl=en
Fereshteh Ghahramani,no,215,12,2013,Technological Solutions for Modern Logistics and Supply Chai,https://scholar.google.com/citations?user=56F82YAAAAAJ&hl=en
Nick Dayton,no,215,4,2000,"JOURNAL OF CGMP COMPLIANCE 4 (3), 53-58",https://scholar.google.com/citations?user=oPtnFeoAAAAJ&hl=en
Umer Huzaifa,no,214,28,2015,2016 6th IEEE International Conference on Biomedical Robotic,https://scholar.google.com/citations?user=AAjgPQsAAAAJ&hl=en
Hussein M. Al-Azzawi,no,208,17,2011,arXiv preprint arXiv:1305.3002,https://scholar.google.com/citations?user=dqy6WzgAAAAJ&hl=en
Russell L. Steiger,no,195,9,2017,"Personality and Individual Differences 113, 125-135",https://scholar.google.com/citations?user=iW3CGyYAAAAJ&hl=en
Arenike Patricia Adekugbe,no,190,7,2024,"International Medical Science Research Journal 4 (4), 373-39",https://scholar.google.com/citations?user=paEnWQwAAAAJ&hl=en
Brandon H. Meng,no,186,6,2019,2021 IEEE International Conference on Robotics and Automatio,https://scholar.google.com/citations?user=mJ9c26kAAAAJ&hl=en
Laura Christiansen,no,179,7,2009,DC@ PKDD/ECML,https://scholar.google.com/citations?user=sUB0eSIAAAAJ&hl=en
Yesenia Garcia-Murillo,no,170,10,2021,"American Journal of Community Psychology 68 (3-4), 292-309",https://scholar.google.com/citations?user=kfxBercAAAAJ&hl=en
Chris Moser,no,162,4,2012,"International Conference on Human-Computer Interaction, 622-",https://scholar.google.com/citations?user=ggM6iQ4AAAAJ&hl=en
Melissa H. Koenig,no,153,17,1998,"College & Research Libraries 59 (1), 39-50",https://scholar.google.com/citations?user=uXH6dA4AAAAJ&hl=en
Tianxiang Gao (高天翔),no,151,16,2015,Iowa State University,https://scholar.google.com/citations?user=iNLlIbQAAAAJ&hl=en
Jingyi Huang,no,133,11,2025,2025 4th International Conference on Smart Grids and Energy ,https://scholar.google.com/citations?user=yRccHh0AAAAJ&hl=en
Alyssa R. Minton,no,130,20,2018,"DePaul Discoveries 13 (1), 2",https://scholar.google.com/citations?user=4LQtws8AAAAJ&hl=en
Jordan Reed,no,129,18,2015,OSF,https://scholar.google.com/citations?user=EBxdiZ8AAAAJ&hl=en
Gretchen Wilbur,no,126,13,1983,"ERIC Clearinghouse on Urban Education, Institute for Urban a",https://scholar.google.com/citations?user=S7fWfOMAAAAJ&hl=en
Anthony Colaneri,no,125,1,2017,"The Journal of Sex Research 54 (3), 362-373",https://scholar.google.com/citations?user=ys6eU7EAAAAJ&hl=en
Trinadh gupta,no,125,2,2016,Proceedings of the 1st Workshop on Deep Learning for Recomme,https://scholar.google.com/citations?user=tisz3lUAAAAJ&hl=en
